region;num_dia;dia;valor;valordelta;n;mu;sigma;modelo;modelodelta;densidad;modelo*n;R2ajuste;R2error;R2errorA;R2errorB;pvalor;qnorm0.99;qnorm0.999;diapeak;deltapeak
MD;1;1;0;0;292000;89;25.3;0.000252;0.000252;0.000037;74;-inf;0.000000000;0.000000000;0.000000000;0.000000000;148;167;66;4518
MD;2;2;70;70;292000;89;25.3;0.000292;0.000040;0.000043;85;-1.311894935;1.000000000;-5.619141541;5.619141541;0.000000000;148;167;66;4518
MD;3;3;137;67;292000;89;25.3;0.000338;0.000046;0.000049;99;0.239988020;0.607609816;-1.259272758;2.349239954;0.430953261;148;167;66;4518
MD;4;4;159;22;292000;89;25.3;0.000390;0.000052;0.000056;114;0.407211123;0.022832228;2.134631985;0.312897108;0.848896631;148;167;66;4518
MD;5;5;169;10;292000;89;25.3;0.000450;0.000060;0.000064;131;0.477817466;0.039281532;3.399199350;-0.319386574;0.749311404;148;167;66;4518
MD;6;6;217;48;292000;89;25.3;0.000518;0.000068;0.000073;151;0.508730709;0.029017907;3.138391015;-0.207611574;0.746951901;148;167;66;4518
MD;7;7;296;79;292000;89;25.3;0.000595;0.000077;0.000083;174;0.460666995;0.001439301;2.683434479;-0.037002873;0.935640580;148;167;66;4518
MD;8;8;335;39;292000;89;25.3;0.000683;0.000088;0.000094;200;0.435520130;0.020829348;2.924149833;-0.117241324;0.733127181;148;167;66;4518
MD;9;9;393;58;292000;89;25.3;0.000783;0.000100;0.000106;229;0.414698392;0.029518354;2.924323354;-0.117293380;0.658489171;148;167;66;4518
MD;10;10;457;64;292000;89;25.3;0.000897;0.000113;0.000120;262;0.400998326;0.037689601;2.910464331;-0.113513647;0.590970115;148;167;66;4518
MD;11;11;475;18;292000;89;25.3;0.001025;0.000128;0.000136;299;0.415543416;0.099862264;3.130254874;-0.168461283;0.343787273;148;167;66;4518
MD;12;12;493;18;292000;89;25.3;0.001169;0.000145;0.000154;341;0.447492135;0.161188100;3.248156009;-0.195669237;0.195806193;148;167;66;4518
MD;13;13;526;33;292000;89;25.3;0.001332;0.000163;0.000173;389;0.490094543;0.199246710;3.256093895;-0.197370213;0.126267526;148;167;66;4518
MD;14;14;592;66;292000;89;25.3;0.001516;0.000184;0.000195;443;0.538541647;0.200580963;3.160732150;-0.178297863;0.108289598;148;167;66;4518
MD;15;15;638;46;292000;89;25.3;0.001723;0.000207;0.000219;503;0.590224407;0.223898994;3.129576709;-0.172456218;0.074837395;148;167;66;4518
MD;16;16;679;41;292000;89;25.3;0.001955;0.000232;0.000245;571;0.642682176;0.249305465;3.104352918;-0.168004961;0.048944058;148;167;66;4518
MD;17;17;749;70;292000;89;25.3;0.002215;0.000260;0.000275;647;0.694820939;0.253185206;3.030959876;-0.155772787;0.039501959;148;167;66;4518
MD;18;18;768;19;292000;89;25.3;0.002506;0.000291;0.000307;732;0.739676443;0.287737708;3.032665741;-0.156042135;0.021735957;148;167;66;4518
MD;19;19;780;12;292000;89;25.3;0.002830;0.000325;0.000343;827;0.770570364;0.319845500;3.027203220;-0.155222756;0.011614668;148;167;66;4518
MD;20;20;831;51;292000;89;25.3;0.003193;0.000363;0.000383;932;0.791972160;0.329817975;2.973817331;-0.147596201;0.008091530;148;167;66;4518
MD;21;21;924;93;292000;89;25.3;0.003597;0.000404;0.000426;1050;0.812711480;0.322233167;2.890594872;-0.136247684;0.007272040;148;167;66;4518
MD;22;22;997;73;292000;89;25.3;0.004046;0.000449;0.000473;1181;0.822543354;0.325500223;2.832838097;-0.128714191;0.005559705;148;167;66;4518
