region;num_dia;dia;valor;valordelta;n;mu;sigma;modelo;modelodelta;densidad;modelo*n;R2ajuste;R2error;R2errorA;R2errorB;pvalor;qnorm0.99;qnorm0.999;diapeak;deltapeak
MD;1;1;0;0;303000;90;26.2;0.000341;0.000341;0.000048;103;-inf;0.000000000;0.000000000;0.000000000;0.000000000;151;171;87;7715
MD;2;2;70;70;303000;90;26.2;0.000391;0.000051;0.000054;119;-4.314332806;1.000000000;-4.273366955;4.273366955;0.000000000;151;171;87;7715
MD;3;3;137;67;303000;90;26.2;0.000449;0.000058;0.000061;136;-0.387275165;0.613892324;-0.976015516;1.800353376;0.426851779;151;171;87;7715
MD;4;4;159;22;303000;90;26.2;0.000515;0.000065;0.000070;156;0.157201764;0.024216335;1.615513830;0.245435768;0.844384013;151;171;87;7715
MD;5;5;169;10;303000;90;26.2;0.000589;0.000074;0.000079;178;0.352674358;0.038067267;2.585269079;-0.239441856;0.753165570;151;171;87;7715
MD;6;6;217;48;303000;90;26.2;0.000673;0.000084;0.000089;204;0.562031881;0.026102367;2.376373829;-0.149915321;0.759765174;151;171;87;7715
MD;7;7;296;79;303000;90;26.2;0.000768;0.000095;0.000101;233;0.687012130;0.000399715;2.016307111;-0.014890301;0.966065814;151;171;87;7715
MD;8;8;335;39;303000;90;26.2;0.000875;0.000107;0.000114;265;0.739818866;0.016093331;2.207456439;-0.078606744;0.764678117;151;171;87;7715
MD;9;9;393;58;303000;90;26.2;0.000995;0.000121;0.000128;302;0.762035190;0.022992225;2.208390020;-0.078886818;0.696955636;151;171;87;7715
MD;10;10;457;64;303000;90;26.2;0.001131;0.000136;0.000144;343;0.769372841;0.029340340;2.198716403;-0.076248559;0.636104204;151;171;87;7715
MD;11;11;475;18;303000;90;26.2;0.001284;0.000153;0.000162;389;0.793220580;0.089206201;2.379132189;-0.121352506;0.372305667;151;171;87;7715
MD;12;12;493;18;303000;90;26.2;0.001455;0.000171;0.000181;441;0.822397720;0.150524525;2.478288926;-0.144234830;0.212688722;151;171;87;7715
MD;13;13;526;33;303000;90;26.2;0.001647;0.000192;0.000203;499;0.850614152;0.188543707;2.488468097;-0.146416081;0.138190503;151;171;87;7715
MD;14;14;592;66;303000;90;26.2;0.001861;0.000215;0.000227;564;0.877532879;0.187961607;2.413864951;-0.131495451;0.121456345;151;171;87;7715
MD;15;15;638;46;303000;90;26.2;0.002101;0.000240;0.000253;637;0.899991610;0.211152995;2.392730457;-0.127532734;0.084848947;151;171;87;7715
MD;16;16;679;41;303000;90;26.2;0.002368;0.000267;0.000282;718;0.914849549;0.237003080;2.376789503;-0.124719624;0.055824010;151;171;87;7715
MD;17;17;749;70;303000;90;26.2;0.002666;0.000298;0.000314;808;0.926092706;0.239743423;2.320397182;-0.115320904;0.046045881;151;171;87;7715
MD;18;18;768;19;303000;90;26.2;0.002997;0.000331;0.000349;908;0.916830850;0.276321634;2.327608239;-0.116459492;0.025059485;151;171;87;7715
MD;19;19;780;12;303000;90;26.2;0.003365;0.000368;0.000387;1020;0.875086139;0.310698253;2.328934325;-0.116658405;0.013157459;151;171;87;7715
MD;20;20;831;51;303000;90;26.2;0.003773;0.000408;0.000429;1143;0.813905580;0.320895030;2.289284744;-0.110994179;0.009212723;151;171;87;7715
MD;21;21;924;93;303000;90;26.2;0.004224;0.000452;0.000475;1280;0.756762161;0.311498695;2.223759233;-0.102058882;0.008556146;151;171;87;7715
MD;22;22;997;73;303000;90;26.2;0.004724;0.000499;0.000525;1431;0.687433780;0.314518602;2.180054240;-0.096358231;0.006623984;151;171;87;7715
MD;23;23;1091;94;303000;90;26.2;0.005275;0.000551;0.000579;1598;0.617357467;0.311278312;2.130303938;-0.090139443;0.005668220;151;171;87;7715
MD;24;24;1281;190;303000;90;26.2;0.005883;0.000608;0.000638;1783;0.604391391;0.278414725;2.045611420;-0.079976341;0.008052006;151;171;87;7715
MD;25;25;1328;47;303000;90;26.2;0.006552;0.000669;0.000702;1985;0.543576070;0.294862784;2.031620186;-0.078361968;0.005032633;151;171;87;7715
MD;26;26;1351;23;303000;90;26.2;0.007288;0.000736;0.000771;2208;0.421122579;0.314866554;2.023598470;-0.077470666;0.002860656;151;171;87;7715
MD;27;27;1433;82;303000;90;26.2;0.008096;0.000808;0.000845;2453;0.274994154;0.320371057;1.994840935;-0.074389501;0.002088287;151;171;87;7715
MD;28;28;1617;184;303000;90;26.2;0.008981;0.000885;0.000926;2721;0.174464694;0.305559362;1.941707787;-0.068892969;0.002284232;151;171;87;7715
MD;29;29;1788;171;303000;90;26.2;0.009950;0.000969;0.001013;3015;0.097603285;0.297589142;1.899402642;-0.064662454;0.002208514;151;171;87;7715
MD;30;30;2002;214;303000;90;26.2;0.011008;0.001059;0.001106;3336;0.058708049;0.285525499;1.854136024;-0.060281814;0.002352454;151;171;87;7715
MD;31;31;2461;459;303000;90;26.2;0.012164;0.001156;0.001206;3686;0.163328839;0.238946818;1.772172049;-0.052597691;0.005264445;151;171;87;7715
MD;32;32;2636;175;303000;90;26.2;0.013423;0.001259;0.001314;4067;0.209497804;0.241344304;1.750256669;-0.050605384;0.004300287;151;171;87;7715
MD;33;33;2713;77;303000;90;26.2;0.014794;0.001370;0.001428;4482;0.180422837;0.254628558;1.744339092;-0.050083245;0.002747627;151;171;87;7715
MD;34;34;2958;245;303000;90;26.2;0.016283;0.001489;0.001551;4934;0.152641761;0.251100023;1.716111576;-0.047663743;0.002538208;151;171;87;7715
MD;35;35;3409;451;303000;90;26.2;0.017898;0.001615;0.001681;5423;0.181751948;0.230013505;1.668263936;-0.043676440;0.003553862;151;171;87;7715
MD;36;36;3860;451;303000;90;26.2;0.019648;0.001750;0.001820;5953;0.235906159;0.214402786;1.628167376;-0.040425368;0.004457790;151;171;87;7715
