region;num_dia;dia;valor;valordelta;n;mu;sigma;modelo;modelodelta;densidad;modelo*n;R2ajuste;R2error;R2errorA;R2errorB;pvalor;qnorm0.99;qnorm0.999;diapeak;deltapeak
MD;1;1;0;0;53000;68;23.2;0.001939;0.001939;0.000266;103;-inf;0.000000000;0.000000000;0.000000000;0.000000000;122;140;38;818
MD;2;2;70;70;53000;68;23.2;0.002222;0.000283;0.000301;118;-4.241092525;1.000000000;-4.393213039;4.393213039;0.000000000;122;140;38;818
MD;3;3;137;67;53000;68;23.2;0.002542;0.000320;0.000340;135;-0.368630419;0.618623188;-1.017683807;1.861566115;0.423755133;122;140;38;818
MD;4;4;159;22;53000;68;23.2;0.002902;0.000361;0.000383;154;0.167403047;0.025327173;1.654377626;0.258329255;0.840854869;122;140;38;818
MD;5;5;169;10;53000;68;23.2;0.003309;0.000406;0.000431;175;0.362815118;0.037104211;2.657555293;-0.243259578;0.756268062;122;140;38;818
MD;6;6;217;48;53000;68;23.2;0.003765;0.000457;0.000484;200;0.564499430;0.023687345;2.432803660;-0.146937450;0.770962418;122;140;38;818
MD;7;7;296;79;53000;68;23.2;0.004278;0.000513;0.000542;227;0.674311904;0.000014122;2.048672786;-0.002888372;0.993620481;122;140;38;818
MD;8;8;335;39;53000;68;23.2;0.004852;0.000574;0.000607;257;0.717932730;0.012226064;2.251892560;-0.070628297;0.794361992;122;140;38;818
MD;9;9;393;58;53000;68;23.2;0.005494;0.000642;0.000678;291;0.731778110;0.017423062;2.252225334;-0.070728129;0.734972732;122;140;38;818
MD;10;10;457;64;53000;68;23.2;0.006210;0.000716;0.000756;329;0.731363169;0.021923222;2.241558574;-0.067819013;0.683115820;122;140;38;818
MD;11;11;475;18;53000;68;23.2;0.007007;0.000797;0.000841;371;0.750553979;0.078773603;2.440027535;-0.117436253;0.403154718;122;140;38;818
MD;12;12;493;18;53000;68;23.2;0.007894;0.000887;0.000934;418;0.778184778;0.139542408;2.551207201;-0.143093099;0.231655917;122;140;38;818
MD;13;13;526;33;53000;68;23.2;0.008877;0.000984;0.001035;471;0.807483468;0.176909594;2.564979229;-0.146044248;0.152394857;122;140;38;818
MD;14;14;592;66;53000;68;23.2;0.009967;0.001090;0.001145;528;0.835411677;0.173295507;2.484014236;-0.129851249;0.138719725;122;140;38;818
MD;15;15;638;46;53000;68;23.2;0.011172;0.001205;0.001265;592;0.861785335;0.195564864;2.464047572;-0.126107500;0.098830193;122;140;38;818
MD;16;16;679;41;53000;68;23.2;0.012501;0.001329;0.001395;663;0.885000236;0.221175257;2.450512519;-0.123718961;0.066012663;122;140;38;818
MD;17;17;749;70;53000;68;23.2;0.013965;0.001464;0.001535;740;0.905820993;0.221424045;2.390136016;-0.113656210;0.056612666;122;140;38;818
MD;18;18;768;19;53000;68;23.2;0.015574;0.001609;0.001686;825;0.916653251;0.259986969;2.404767093;-0.115966380;0.030639613;122;140;38;818
MD;19;19;780;12;53000;68;23.2;0.017340;0.001766;0.001848;919;0.909579481;0.296834884;2.413072817;-0.117212239;0.015858387;122;140;38;818
MD;20;20;831;51;53000;68;23.2;0.019275;0.001934;0.002023;1022;0.892429681;0.306348256;2.372378661;-0.111398788;0.011351751;122;140;38;818
MD;21;21;924;93;53000;68;23.2;0.021389;0.002115;0.002209;1134;0.879122636;0.292822123;2.299874614;-0.101511873;0.011302826;122;140;38;818
MD;22;22;997;73;53000;68;23.2;0.023697;0.002308;0.002408;1256;0.859830660;0.294293866;2.253941546;-0.095520603;0.009094745;122;140;38;818
MD;23;23;1091;94;53000;68;23.2;0.026211;0.002514;0.002621;1389;0.840978928;0.288269027;2.200051972;-0.088784406;0.008251740;122;140;38;818
MD;24;24;1281;190;53000;68;23.2;0.028944;0.002733;0.002847;1534;0.850731662;0.245516941;2.100882735;-0.076884098;0.013812369;122;140;38;818
MD;25;25;1328;47;53000;68;23.2;0.031909;0.002966;0.003086;1691;0.837315075;0.263709558;2.092199899;-0.075882232;0.008650812;122;140;38;818
MD;26;26;1351;23;53000;68;23.2;0.035121;0.003212;0.003340;1861;0.794033852;0.286713079;2.091379559;-0.075791083;0.004817992;122;140;38;818
MD;27;27;1433;82;53000;68;23.2;0.038594;0.003473;0.003608;2045;0.740933119;0.291903001;2.062948303;-0.072744877;0.003623481;122;140;38;818
MD;28;28;1617;184;53000;68;23.2;0.042341;0.003748;0.003890;2244;0.712813119;0.270593882;2.001059835;-0.066342622;0.004546444;122;140;38;818
MD;29;29;1788;171;53000;68;23.2;0.046378;0.004037;0.004186;2458;0.697305083;0.258259200;1.953221586;-0.061558797;0.004883352;122;140;38;818
MD;30;30;2002;214;53000;68;23.2;0.050718;0.004340;0.004496;2688;0.699507793;0.240321647;1.900451267;-0.056451992;0.005957725;122;140;38;818
MD;31;31;2461;459;53000;68;23.2;0.055375;0.004657;0.004821;2935;0.755856464;0.176488037;1.794254858;-0.046496078;0.018624109;122;140;38;818
MD;32;32;2636;175;53000;68;23.2;0.060364;0.004989;0.005159;3199;0.788919033;0.177675271;1.773402006;-0.044600365;0.016272300;122;140;38;818
MD;33;33;2713;77;53000;68;23.2;0.065698;0.005334;0.005511;3482;0.795036521;0.192978013;1.775702196;-0.044803323;0.010534948;122;140;38;818
MD;34;34;2958;245;53000;68;23.2;0.071390;0.005692;0.005876;3784;0.801681196;0.186147074;1.744268424;-0.042108999;0.010843330;122;140;38;818
MD;35;35;3409;451;53000;68;23.2;0.077453;0.006063;0.006253;4105;0.825473897;0.155469794;1.681957565;-0.036916428;0.019087096;122;140;38;818
MD;36;36;3860;451;53000;68;23.2;0.083900;0.006446;0.006642;4447;0.853867759;0.132747991;1.630391700;-0.032735412;0.028915522;122;140;38;818
MD;37;37;4487;627;53000;68;23.2;0.090741;0.006841;0.007042;4809;0.886454614;0.099324037;1.562246539;-0.027355530;0.057437605;122;140;38;818
MD;38;38;5305;818;53000;68;23.2;0.097988;0.007247;0.007453;5193;0.915885627;0.061935654;1.480766322;-0.021087821;0.131887196;122;140;38;818
MD;39;39;5584;279;53000;68;23.2;0.105650;0.007662;0.007873;5599;0.934462954;0.066389031;1.480237672;-0.021048173;0.113282861;122;140;38;818
MD;40;40;;;53000;68;23.2;0.113736;0.008086;0.008301;6028;;;;;;122;140;38;818
MD;41;41;;;53000;68;23.2;0.122254;0.008518;0.008736;6479;;;;;;122;140;38;818
MD;42;42;;;53000;68;23.2;0.131210;0.008956;0.009177;6954;;;;;;122;140;38;818
MD;43;43;;;53000;68;23.2;0.140609;0.009399;0.009622;7452;;;;;;122;140;38;818
MD;44;44;;;53000;68;23.2;0.150455;0.009846;0.010070;7974;;;;;;122;140;38;818
MD;45;45;;;53000;68;23.2;0.160750;0.010295;0.010520;8520;;;;;;122;140;38;818
MD;46;46;;;53000;68;23.2;0.171495;0.010744;0.010969;9089;;;;;;122;140;38;818
MD;47;47;;;53000;68;23.2;0.182687;0.011193;0.011416;9682;;;;;;122;140;38;818
MD;48;48;;;53000;68;23.2;0.194325;0.011638;0.011859;10299;;;;;;122;140;38;818
MD;49;49;;;53000;68;23.2;0.206403;0.012078;0.012296;10939;;;;;;122;140;38;818
MD;50;50;;;53000;68;23.2;0.218915;0.012512;0.012726;11603;;;;;;122;140;38;818
MD;51;51;;;53000;68;23.2;0.231853;0.012938;0.013147;12288;;;;;;122;140;38;818
MD;52;52;;;53000;68;23.2;0.245206;0.013353;0.013556;12996;;;;;;122;140;38;818
MD;53;53;;;53000;68;23.2;0.258961;0.013756;0.013952;13725;;;;;;122;140;38;818
MD;54;54;;;53000;68;23.2;0.273105;0.014144;0.014333;14475;;;;;;122;140;38;818
MD;55;55;;;53000;68;23.2;0.287622;0.014517;0.014697;15244;;;;;;122;140;38;818
MD;56;56;;;53000;68;23.2;0.302494;0.014872;0.015043;16032;;;;;;122;140;38;818
MD;57;57;;;53000;68;23.2;0.317701;0.015207;0.015368;16838;;;;;;122;140;38;818
MD;58;58;;;53000;68;23.2;0.333222;0.015521;0.015670;17661;;;;;;122;140;38;818
MD;59;59;;;53000;68;23.2;0.349034;0.015812;0.015949;18499;;;;;;122;140;38;818
MD;60;60;;;53000;68;23.2;0.365112;0.016078;0.016203;19351;;;;;;122;140;38;818
