region;num_dia;dia;valor;valordelta;n;mu;sigma;modelo;modelodelta;densidad;modelo*n;R2ajuste;R2error;R2errorA;R2errorB;pvalor;qnorm0.99;qnorm0.999;diapeak;deltapeak
MD;1;1;0;0;485000;99;27.4;0.000174;0.000174;0.000024;84;-inf;0.000000000;0.000000000;0.000000000;0.000000000;163;184;59;4294
MD;2;2;70;70;485000;99;27.4;0.000200;0.000026;0.000028;97;-2.204451350;1.000000000;-5.219436353;5.219436353;0.000000000;163;184;59;4294
MD;3;3;137;67;485000;99;27.4;0.000229;0.000030;0.000031;111;0.093128205;0.613018116;-1.188965880;2.196583499;0.427423224;163;184;59;4294
MD;4;4;159;22;485000;99;27.4;0.000263;0.000034;0.000036;128;0.385508141;0.024011323;1.974604578;0.298441224;0.845044126;163;184;59;4294
MD;5;5;169;10;485000;99;27.4;0.000301;0.000038;0.000041;146;0.505132107;0.038250155;3.157693583;-0.293103279;0.752581024;163;184;59;4294
MD;6;6;217;48;485000;99;27.4;0.000344;0.000043;0.000046;167;0.586960834;0.026583210;2.904891158;-0.184759383;0.757601737;163;184;59;4294
MD;7;7;296;79;485000;99;27.4;0.000393;0.000049;0.000052;191;0.572605528;0.000537825;2.468416434;-0.021081361;0.960640227;163;184;59;4294
MD;8;8;335;39;485000;99;27.4;0.000448;0.000055;0.000059;217;0.560941697;0.016921047;2.700375811;-0.098401153;0.758835682;163;184;59;4294
MD;9;9;393;58;485000;99;27.4;0.000511;0.000062;0.000066;248;0.543564603;0.024194862;2.701745560;-0.098812078;0.689441952;163;184;59;4294
MD;10;10;457;64;485000;99;27.4;0.000581;0.000070;0.000074;282;0.527455713;0.030960033;2.690186522;-0.095659613;0.626796047;163;184;59;4294
MD;11;11;475;18;485000;99;27.4;0.000660;0.000079;0.000084;320;0.540397506;0.091383408;2.907480879;-0.149983203;0.366249119;163;184;59;4294
MD;12;12;493;18;485000;99;27.4;0.000749;0.000089;0.000094;363;0.569477058;0.152789103;3.026411838;-0.177428808;0.208982592;163;184;59;4294
MD;13;13;526;33;485000;99;27.4;0.000849;0.000100;0.000106;412;0.606803480;0.190947031;3.038097268;-0.179932829;0.135421772;163;184;59;4294
MD;14;14;592;66;485000;99;27.4;0.000960;0.000112;0.000118;466;0.646955187;0.191032839;2.948081170;-0.161929610;0.118116231;163;184;59;4294
