region;num_dia;dia;valor;valordelta;n;mu;sigma;modelo;modelodelta;densidad;modelo*n;R2ajuste;R2error;R2errorA;R2errorB;pvalor;qnorm0.99;qnorm0.999;diapeak;deltapeak
MD;1;1;0;0;220000;84;24.6;0.000370;0.000370;0.000055;81;-inf;0.000000000;0.000000000;0.000000000;0.000000000;141;160;52;3003
MD;2;2;70;70;220000;84;24.6;0.000429;0.000059;0.000063;94;-1.953834113;1.000000000;-5.075134101;5.075134101;0.000000000;141;160;52;3003
MD;3;3;137;67;220000;84;24.6;0.000496;0.000067;0.000072;109;0.146392296;0.607988485;-1.138666120;2.122783115;0.430706387;141;160;52;3003
MD;4;4;159;22;220000;84;24.6;0.000573;0.000077;0.000082;126;0.411535847;0.022920312;1.927352597;0.283171885;0.848605444;141;160;52;3003
MD;5;5;169;10;220000;84;24.6;0.000660;0.000088;0.000093;145;0.523361470;0.039198835;3.070058195;-0.288180914;0.749571905;141;160;52;3003
MD;6;6;217;48;220000;84;24.6;0.000760;0.000100;0.000106;167;0.600204778;0.028784643;2.833419717;-0.186764423;0.747951246;141;160;52;3003
MD;7;7;296;79;220000;84;24.6;0.000874;0.000114;0.000121;192;0.585993285;0.001326357;2.420959127;-0.032091702;0.938213876;141;160;52;3003
MD;8;8;335;39;220000;84;24.6;0.001003;0.000129;0.000137;221;0.578353286;0.020387962;2.639027127;-0.104781035;0.735892111;141;160;52;3003
MD;9;9;393;58;220000;84;24.6;0.001149;0.000146;0.000155;253;0.566600261;0.028873061;2.639025187;-0.104780453;0.662061357;141;160;52;3003
MD;10;10;457;64;220000;84;24.6;0.001314;0.000165;0.000176;289;0.556689254;0.036812846;2.626333023;-0.101318954;0.595403893;141;160;52;3003
MD;11;11;475;18;220000;84;24.6;0.001501;0.000187;0.000199;330;0.575283172;0.098747680;2.826273124;-0.151303979;0.346642525;141;160;52;3003
MD;12;12;493;18;220000;84;24.6;0.001712;0.000211;0.000224;377;0.608954286;0.160046921;2.933774054;-0.176111886;0.197545472;141;160;52;3003
MD;13;13;526;33;220000;84;24.6;0.001950;0.000238;0.000252;429;0.649660941;0.198032684;2.941268459;-0.177717830;0.127568210;141;160;52;3003
MD;14;14;592;66;220000;84;24.6;0.002217;0.000267;0.000283;488;0.692770040;0.199001714;2.854554529;-0.160375044;0.109858679;141;160;52;3003
MD;15;15;638;46;220000;84;24.6;0.002517;0.000300;0.000317;554;0.736255238;0.222209328;2.826576168;-0.155129102;0.076097154;141;160;52;3003
MD;16;16;679;41;220000;84;24.6;0.002853;0.000336;0.000355;628;0.777370948;0.247583572;2.804099688;-0.151162664;0.049856885;141;160;52;3003
MD;17;17;749;70;220000;84;24.6;0.003229;0.000376;0.000397;710;0.816032914;0.251161406;2.737468177;-0.140057412;0.040428267;141;160;52;3003
MD;18;18;768;19;220000;84;24.6;0.003649;0.000420;0.000444;803;0.842643268;0.285945187;2.739881318;-0.140438434;0.022229292;141;160;52;3003
MD;19;19;780;12;220000;84;24.6;0.004118;0.000468;0.000494;906;0.848088947;0.318334171;2.735795834;-0.139825612;0.011857516;141;160;52;3003
MD;20;20;831;51;220000;84;24.6;0.004639;0.000522;0.000550;1021;0.839143374;0.328215930;2.687561874;-0.132935046;0.008283080;141;160;52;3003
MD;21;21;924;93;220000;84;24.6;0.005219;0.000580;0.000611;1148;0.829656590;0.320147384;2.611720970;-0.122593105;0.007506645;141;160;52;3003
MD;22;22;997;73;220000;84;24.6;0.005862;0.000643;0.000677;1290;0.807480444;0.323227485;2.559412647;-0.115770280;0.005765989;141;160;52;3003
MD;23;23;1091;94;220000;84;24.6;0.006575;0.000713;0.000750;1447;0.779556827;0.320555296;2.500859069;-0.108451083;0.004858461;141;160;52;3003
MD;24;24;1281;190;220000;84;24.6;0.007363;0.000788;0.000828;1620;0.783304084;0.291250193;2.405476007;-0.097005115;0.006492163;141;160;52;3003
MD;25;25;1328;47;220000;84;24.6;0.008234;0.000871;0.000914;1811;0.750886486;0.306272089;2.385202889;-0.094665909;0.004108378;141;160;52;3003
MD;26;26;1351;23;220000;84;24.6;0.009194;0.000960;0.001007;2023;0.671056975;0.324397608;2.371359480;-0.093127753;0.002388618;141;160;52;3003
MD;27;27;1433;82;220000;84;24.6;0.010250;0.001056;0.001107;2255;0.569263755;0.329319058;2.335819532;-0.089319901;0.001749415;141;160;52;3003
MD;28;28;1617;184;220000;84;24.6;0.011410;0.001160;0.001215;2510;0.495987131;0.316076947;2.274868609;-0.083014633;0.001847138;141;160;52;3003
MD;29;29;1788;171;220000;84;24.6;0.012683;0.001273;0.001332;2790;0.436116400;0.308875107;2.225484828;-0.078076255;0.001747556;141;160;52;3003
MD;30;30;2002;214;220000;84;24.6;0.014077;0.001394;0.001458;3097;0.401169047;0.298011197;2.173208018;-0.073017209;0.001805609;141;160;52;3003
MD;31;31;2461;459;220000;84;24.6;0.015602;0.001524;0.001592;3432;0.468690295;0.256517512;2.082847616;-0.064545921;0.003645139;141;160;52;3003
MD;32;32;2636;175;220000;84;24.6;0.017265;0.001664;0.001737;3798;0.494501520;0.258523150;2.055306055;-0.062042143;0.002965178;141;160;52;3003
MD;33;33;2713;77;220000;84;24.6;0.019078;0.001813;0.001891;4197;0.464525034;0.270322724;2.044567758;-0.061094646;0.001927229;141;160;52;3003
MD;34;34;2958;245;220000;84;24.6;0.021051;0.001972;0.002055;4631;0.434866192;0.266945165;2.010776947;-0.058198291;0.001757416;141;160;52;3003
MD;35;35;3409;451;220000;84;24.6;0.023193;0.002142;0.002231;5102;0.448362864;0.247880927;1.956767013;-0.053697463;0.002339011;141;160;52;3003
MD;36;36;3860;451;220000;84;24.6;0.025515;0.002323;0.002417;5613;0.481450829;0.233615177;1.910957395;-0.049983170;0.002824801;141;160;52;3003
MD;37;37;4487;627;220000;84;24.6;0.028030;0.002515;0.002614;6167;0.543813708;0.210991476;1.855354865;-0.045593496;0.004237948;141;160;52;3003
MD;38;38;5305;818;220000;84;24.6;0.030748;0.002718;0.002823;6764;0.628668811;0.182203110;1.792494989;-0.040758121;0.007526105;141;160;52;3003
MD;39;39;5584;279;220000;84;24.6;0.033680;0.002932;0.003043;7410;0.669013684;0.187627938;1.781532038;-0.039935900;0.005878766;141;160;52;3003
MD;40;40;5764;180;220000;84;24.6;0.036838;0.003158;0.003276;8104;0.674801471;0.197546902;1.778247706;-0.039695583;0.004062157;141;160;52;3003
MD;41;41;6178;414;220000;84;24.6;0.040235;0.003397;0.003520;8852;0.671990638;0.197807172;1.759519680;-0.038357867;0.003574222;141;160;52;3003
MD;42;42;7274;1096;220000;84;24.6;0.043882;0.003647;0.003776;9654;0.701588016;0.171176183;1.703761189;-0.034467740;0.006457117;141;160;52;3003
MD;43;43;8309;1035;220000;84;24.6;0.047790;0.003909;0.004044;10514;0.740877423;0.153105417;1.659958735;-0.031481209;0.009470292;141;160;52;3003
MD;44;44;9487;1178;220000;84;24.6;0.051973;0.004183;0.004324;11434;0.783870662;0.134794981;1.616156968;-0.028561091;0.014224677;141;160;52;3003
MD;45;45;11105;1618;220000;84;24.6;0.056442;0.004469;0.004615;12417;0.830973177;0.108661320;1.560041207;-0.024901367;0.027017400;141;160;52;3003
MD;46;46;11625;520;220000;84;24.6;0.061208;0.004766;0.004918;13466;0.857614115;0.113709679;1.557172291;-0.024718245;0.021923208;141;160;52;3003
MD;47;47;11978;353;220000;84;24.6;0.066282;0.005075;0.005233;14582;0.869036860;0.122385756;1.560950503;-0.024954383;0.015931049;141;160;52;3003
MD;48;48;12663;685;220000;84;24.6;0.071677;0.005395;0.005558;15769;0.874138759;0.124720055;1.552740291;-0.024451717;0.013810331;141;160;52;3003
MD;49;49;14765;2102;220000;84;24.6;0.077402;0.005725;0.005894;17028;0.890735601;0.100166960;1.501048597;-0.021350216;0.026722695;141;160;52;3003
MD;50;50;16741;1976;220000;84;24.6;0.083468;0.006066;0.006240;18363;0.909458566;0.083728733;1.460812671;-0.018983396;0.041534276;141;160;52;3003
MD;51;51;18935;2194;220000;84;24.6;0.089885;0.006417;0.006595;19775;0.927401599;0.068146682;1.420831858;-0.016676811;0.064274117;141;160;52;3003
MD;52;52;21938;3003;220000;84;24.6;0.096661;0.006776;0.006959;21265;0.943093675;0.047149427;1.366682027;-0.013611726;0.122041029;141;160;52;3003
MD;53;53;22739;801;220000;84;24.6;0.103805;0.007144;0.007331;22837;0.953786619;0.051946883;1.372289265;-0.013923239;0.100716535;141;160;52;3003
MD;54;54;;;220000;84;24.6;0.111325;0.007520;0.007710;24491;;;;;;141;160;52;3003
MD;55;55;;;220000;84;24.6;0.119227;0.007902;0.008095;26230;;;;;;141;160;52;3003
MD;56;56;;;220000;84;24.6;0.127516;0.008290;0.008485;28054;;;;;;141;160;52;3003
MD;57;57;;;220000;84;24.6;0.136198;0.008682;0.008880;29964;;;;;;141;160;52;3003
MD;58;58;;;220000;84;24.6;0.145276;0.009078;0.009277;31961;;;;;;141;160;52;3003
MD;59;59;;;220000;84;24.6;0.154753;0.009477;0.009676;34046;;;;;;141;160;52;3003
MD;60;60;;;220000;84;24.6;0.164629;0.009876;0.010076;36218;;;;;;141;160;52;3003
MD;61;61;;;220000;84;24.6;0.174905;0.010276;0.010475;38479;;;;;;141;160;52;3003
MD;62;62;;;220000;84;24.6;0.185578;0.010674;0.010872;40827;;;;;;141;160;52;3003
MD;63;63;;;220000;84;24.6;0.196647;0.011069;0.011265;43262;;;;;;141;160;52;3003
MD;64;64;;;220000;84;24.6;0.208107;0.011460;0.011653;45783;;;;;;141;160;52;3003
MD;65;65;;;220000;84;24.6;0.219951;0.011845;0.012035;48389;;;;;;141;160;52;3003
MD;66;66;;;220000;84;24.6;0.232174;0.012222;0.012408;51078;;;;;;141;160;52;3003
MD;67;67;;;220000;84;24.6;0.244765;0.012591;0.012772;53848;;;;;;141;160;52;3003
MD;68;68;;;220000;84;24.6;0.257715;0.012950;0.013125;56697;;;;;;141;160;52;3003
MD;69;69;;;220000;84;24.6;0.271012;0.013297;0.013466;59623;;;;;;141;160;52;3003
MD;70;70;;;220000;84;24.6;0.284642;0.013631;0.013793;62621;;;;;;141;160;52;3003
MD;71;71;;;220000;84;24.6;0.298592;0.013949;0.014104;65690;;;;;;141;160;52;3003
MD;72;72;;;220000;84;24.6;0.312844;0.014252;0.014398;68826;;;;;;141;160;52;3003
MD;73;73;;;220000;84;24.6;0.327382;0.014538;0.014674;72024;;;;;;141;160;52;3003
MD;74;74;;;220000;84;24.6;0.342186;0.014804;0.014931;75281;;;;;;141;160;52;3003
