region;num_dia;dia;valor;valordelta;n;mu;sigma;modelo;modelodelta;densidad;modelo*n;R2ajuste;R2error;R2errorA;R2errorB;pvalor;qnorm0.99;qnorm0.999;diapeak;deltapeak
MD;1;1;0;0;221000;83;23.9;0.000301;0.000301;0.000046;66;-inf;0.000000000;0.000000000;0.000000000;0.000000000;139;157;80;6650
MD;2;2;70;70;221000;83;23.9;0.000351;0.000050;0.000053;77;-0.825638345;1.000000000;-5.920766866;5.920766866;0.000000000;139;157;80;6650
MD;3;3;137;67;221000;83;23.9;0.000408;0.000057;0.000062;90;0.289883192;0.602863836;-1.307808360;2.461047987;0.434043891;139;157;80;6650
MD;4;4;159;22;221000;83;23.9;0.000474;0.000066;0.000071;105;0.378793528;0.021828152;2.257272873;0.321999246;0.852256465;139;157;80;6650
MD;5;5;169;10;221000;83;23.9;0.000550;0.000076;0.000081;122;0.415018195;0.040187263;3.581333464;-0.340031049;0.746476756;139;157;80;6650
MD;6;6;217;48;221000;83;23.9;0.000637;0.000087;0.000093;141;0.417977061;0.031197608;3.316756130;-0.226640763;0.737812524;139;157;80;6650
MD;7;7;296;79;221000;83;23.9;0.000737;0.000100;0.000106;163;0.359853184;0.002564515;2.850792964;-0.051904576;0.914139294;139;157;80;6650
MD;8;8;335;39;221000;83;23.9;0.000850;0.000114;0.000121;188;0.331693375;0.024498117;3.096218178;-0.133712980;0.711285149;139;157;80;6650
MD;9;9;393;58;221000;83;23.9;0.000980;0.000130;0.000138;217;0.313464323;0.034468448;3.095115739;-0.133382248;0.632479049;139;157;80;6650
MD;10;10;457;64;221000;83;23.9;0.001128;0.000148;0.000157;249;0.305421681;0.043906071;3.079125627;-0.129021309;0.561236493;139;157;80;6650
MD;11;11;475;18;221000;83;23.9;0.001295;0.000168;0.000179;286;0.323180863;0.107306182;3.297992643;-0.183738063;0.325419822;139;157;80;6650
MD;12;12;493;18;221000;83;23.9;0.001486;0.000190;0.000202;328;0.358454014;0.168408387;3.413105751;-0.210302626;0.185155348;139;157;80;6650
MD;13;13;526;33;221000;83;23.9;0.001701;0.000215;0.000229;376;0.405841717;0.206302938;3.417260127;-0.211192850;0.118956244;139;157;80;6650
MD;14;14;592;66;221000;83;23.9;0.001944;0.000244;0.000259;430;0.461470406;0.208679154;3.318067238;-0.191354272;0.100575100;139;157;80;6650
MD;15;15;638;46;221000;83;23.9;0.002219;0.000275;0.000292;490;0.520841988;0.231872785;3.282571381;-0.184698799;0.069152888;139;157;80;6650
MD;16;16;679;41;221000;83;23.9;0.002529;0.000310;0.000328;559;0.581070112;0.256798159;3.252815195;-0.179447707;0.045150032;139;157;80;6650
MD;17;17;749;70;221000;83;23.9;0.002877;0.000348;0.000369;636;0.641527530;0.261150197;3.175510826;-0.166563646;0.036044824;139;157;80;6650
MD;18;18;768;19;221000;83;23.9;0.003267;0.000391;0.000413;722;0.693641421;0.294292022;3.172110547;-0.166026759;0.020016797;139;157;80;6650
MD;19;19;780;12;221000;83;23.9;0.003705;0.000438;0.000463;819;0.730942688;0.324883653;3.161613593;-0.164452216;0.010837728;139;157;80;6650
MD;20;20;831;51;221000;83;23.9;0.004195;0.000490;0.000517;927;0.758282859;0.334518506;3.104254244;-0.156258024;0.007552777;139;157;80;6650
MD;21;21;924;93;221000;83;23.9;0.004741;0.000547;0.000577;1048;0.784526307;0.327707911;3.017927396;-0.144486181;0.006688110;139;157;80;6650
MD;22;22;997;73;221000;83;23.9;0.005351;0.000609;0.000643;1183;0.798509178;0.330894257;2.956584269;-0.136484903;0.005097185;139;157;80;6650
MD;23;23;1091;94;221000;83;23.9;0.006029;0.000678;0.000714;1332;0.804372478;0.328805332;2.888938926;-0.128029235;0.004230115;139;157;80;6650
MD;24;24;1281;190;221000;83;23.9;0.006782;0.000753;0.000793;1499;0.828072171;0.302877469;2.783264416;-0.115348294;0.005328081;139;157;80;6650
MD;25;25;1328;47;221000;83;23.9;0.007617;0.000835;0.000878;1683;0.820479135;0.316598333;2.755859482;-0.112186186;0.003411352;139;157;80;6650
MD;26;26;1351;23;221000;83;23.9;0.008541;0.000924;0.000971;1888;0.772612257;0.332992608;2.735234969;-0.109894574;0.002026490;139;157;80;6650
MD;27;27;1433;82;221000;83;23.9;0.009562;0.001021;0.001072;2113;0.703201353;0.337445032;2.692426580;-0.105307961;0.001487040;139;157;80;6650
MD;28;28;1617;184;221000;83;23.9;0.010689;0.001126;0.001182;2362;0.651703343;0.325808791;2.623805941;-0.098209274;0.001513960;139;157;80;6650
MD;29;29;1788;171;221000;83;23.9;0.011929;0.001240;0.001300;2636;0.606521561;0.319462775;2.567295492;-0.092558229;0.001399012;139;157;80;6650
MD;30;30;2002;214;221000;83;23.9;0.013292;0.001363;0.001428;2938;0.577473201;0.309897841;2.508118571;-0.086831430;0.001398644;139;157;80;6650
MD;31;31;2461;459;221000;83;23.9;0.014788;0.001496;0.001565;3268;0.626413195;0.273648827;2.410662576;-0.077694931;0.002531453;139;157;80;6650
MD;32;32;2636;175;221000;83;23.9;0.016426;0.001638;0.001713;3630;0.641890122;0.275373993;2.377046182;-0.074638895;0.002046208;139;157;80;6650
MD;33;33;2713;77;221000;83;23.9;0.018217;0.001791;0.001871;4026;0.611390971;0.285736140;2.360547226;-0.073183105;0.001352531;139;157;80;6650
MD;34;34;2958;245;221000;83;23.9;0.020172;0.001955;0.002041;4458;0.579776944;0.282691520;2.321080158;-0.069800213;0.001212131;139;157;80;6650
MD;35;35;3409;451;221000;83;23.9;0.022302;0.002130;0.002221;4929;0.583334349;0.266009923;2.261619236;-0.064845136;0.001518436;139;157;80;6650
MD;36;36;3860;451;221000;83;23.9;0.024619;0.002317;0.002414;5441;0.603288341;0.253462177;2.210611269;-0.060709355;0.001747972;139;157;80;6650
MD;37;37;4487;627;221000;83;23.9;0.027134;0.002515;0.002619;5997;0.648371910;0.233599574;2.150125838;-0.055934190;0.002443199;139;157;80;6650
MD;38;38;5305;818;221000;83;23.9;0.029861;0.002726;0.002836;6599;0.713245980;0.208158936;2.082730121;-0.050749904;0.003989482;139;157;80;6650
MD;39;39;5584;279;221000;83;23.9;0.032810;0.002950;0.003066;7251;0.741828465;0.212939928;2.066919534;-0.049564110;0.003107661;139;157;80;6650
MD;40;40;5764;180;221000;83;23.9;0.035996;0.003186;0.003308;7955;0.740957892;0.221685425;2.058827772;-0.048972029;0.002167645;139;157;80;6650
MD;41;41;6178;414;221000;83;23.9;0.039431;0.003435;0.003564;8714;0.732519188;0.221833795;2.035673506;-0.047318153;0.001883426;139;157;80;6650
MD;42;42;7274;1096;221000;83;23.9;0.043129;0.003697;0.003832;9531;0.753474684;0.198368385;1.976353685;-0.043179561;0.003119153;139;157;80;6650
MD;43;43;8309;1035;221000;83;23.9;0.047101;0.003972;0.004114;10409;0.783870478;0.182194416;1.928970865;-0.039948914;0.004310640;139;157;80;6650
MD;44;44;9487;1178;221000;83;23.9;0.051361;0.004260;0.004409;11351;0.818469846;0.165611657;1.881795519;-0.036803891;0.006116187;139;157;80;6650
MD;45;45;11105;1618;221000;83;23.9;0.055922;0.004561;0.004716;12359;0.857646041;0.141481298;1.822825712;-0.032958034;0.010880952;139;157;80;6650
MD;46;46;11625;520;221000;83;23.9;0.060797;0.004875;0.005036;13436;0.879044323;0.146194778;1.815848692;-0.032512693;0.008732351;139;157;80;6650
MD;47;47;11978;353;221000;83;23.9;0.065998;0.005201;0.005368;14586;0.886664426;0.154226561;1.815432091;-0.032486655;0.006324095;139;157;80;6650
MD;48;48;12663;685;221000;83;23.9;0.071538;0.005539;0.005712;15810;0.888469934;0.156346336;1.803493771;-0.031755737;0.005409246;139;157;80;6650
MD;49;49;14765;2102;221000;83;23.9;0.077427;0.005889;0.006068;17111;0.901859676;0.133540745;1.749617982;-0.028523190;0.009823863;139;157;80;6650
MD;50;50;16741;1976;221000;83;23.9;0.083677;0.006251;0.006435;18493;0.917904260;0.117787553;1.706974957;-0.026014777;0.014685621;139;157;80;6650
MD;51;51;18935;2194;221000;83;23.9;0.090300;0.006622;0.006811;19956;0.933822297;0.102386840;1.664728686;-0.023577492;0.022079057;139;157;80;6650
MD;52;52;21938;3003;221000;83;23.9;0.097303;0.007004;0.007198;21504;0.948278536;0.080507499;1.608990354;-0.020422492;0.041506671;139;157;80;6650
MD;53;53;22739;801;221000;83;23.9;0.104698;0.007394;0.007592;23138;0.957914249;0.085624150;1.610847579;-0.020525671;0.033481434;139;157;80;6650
MD;54;54;23243;504;221000;83;23.9;0.112491;0.007793;0.007995;24860;0.963457667;0.093581900;1.618892220;-0.020964470;0.024473610;139;157;80;6650
MD;55;55;24391;1148;221000;83;23.9;0.120689;0.008199;0.008404;26672;0.966836365;0.095825624;1.613354756;-0.020667820;0.021458725;139;157;80;6650
MD;56;56;27684;3293;221000;83;23.9;0.129300;0.008611;0.008818;28575;0.972020713;0.079182787;1.569291210;-0.018348686;0.035647451;139;157;80;6650
MD;57;57;30795;3111;221000;83;23.9;0.138327;0.009027;0.009237;30570;0.976788480;0.067548556;1.534183731;-0.016532782;0.050886776;139;157;80;6650
MD;58;58;33755;2960;221000;83;23.9;0.147775;0.009448;0.009659;32658;0.980492985;0.059342859;1.506203765;-0.015110072;0.065370860;139;157;80;6650
MD;59;59;38049;4294;221000;83;23.9;0.157645;0.009870;0.010082;34840;0.982125999;0.044896977;1.461712715;-0.012885519;0.107162385;139;157;80;6650
MD;60;60;39189;1140;221000;83;23.9;0.167939;0.010294;0.010505;37114;0.984291089;0.049360967;1.468298017;-0.013209387;0.087981896;139;157;80;6650
MD;61;61;39899;710;221000;83;23.9;0.178655;0.010717;0.010927;39483;0.986439228;0.056048365;1.480380803;-0.013794038;0.066210169;139;157;80;6650
MD;62;62;41250;1351;221000;83;23.9;0.189793;0.011137;0.011347;41944;0.988103843;0.059746598;1.483167469;-0.013926736;0.055538762;139;157;80;6650
MD;63;63;45194;3944;221000;83;23.9;0.201347;0.011554;0.011761;44498;0.989645520;0.050894211;1.454227958;-0.012570196;0.075442856;139;157;80;6650
MD;64;64;48575;3381;221000;83;23.9;0.213313;0.011966;0.012170;47142;0.990854831;0.046149417;1.435247256;-0.011694164;0.088252919;139;157;80;6650
MD;65;65;51949;3374;221000;83;23.9;0.225683;0.012371;0.012570;49876;0.991745915;0.042293923;1.418650057;-0.010939746;0.100281456;139;157;80;6650
MD;66;66;56467;4518;221000;83;23.9;0.238450;0.012767;0.012961;52697;0.991943271;0.034988707;1.391963902;-0.009744843;0.132607939;139;157;80;6650
MD;67;67;57540;1073;221000;83;23.9;0.251602;0.013152;0.013341;55604;0.992712521;0.040109821;1.403161879;-0.010238872;0.104167684;139;157;80;6650
MD;68;68;58448;908;221000;83;23.9;0.265128;0.013526;0.013708;58593;0.993512433;0.045912532;1.415138306;-0.010759586;0.079325033;139;157;80;6650
MD;69;69;59891;1443;221000;83;23.9;0.279014;0.013886;0.014061;61662;0.994029268;0.050052973;1.421177396;-0.011018404;0.064609598;139;157;80;6650
MD;70;70;64039;4148;221000;83;23.9;0.293244;0.014230;0.014397;64807;0.994632429;0.044993739;1.402496869;-0.010229086;0.077923078;139;157;80;6650
MD;71;71;67857;3818;221000;83;23.9;0.307801;0.014558;0.014715;68024;0.995199192;0.041728668;1.388474814;-0.009644834;0.087492259;139;157;80;6650
MD;72;72;71587;3730;221000;83;23.9;0.322668;0.014867;0.015015;71310;0.995702524;0.039195757;1.376529038;-0.009153911;0.095503749;139;157;80;6650
MD;73;73;76796;5209;221000;83;23.9;0.337824;0.015156;0.015293;74659;0.996036834;0.032890430;1.353709076;-0.008228778;0.124652183;139;157;80;6650
MD;74;74;78506;1710;221000;83;23.9;0.353247;0.015423;0.015550;78068;0.996431534;0.036358558;1.360389489;-0.008495994;0.103667479;139;157;80;6650
