region;num_dia;dia;valor;valordelta;n;mu;sigma;modelo;modelodelta;densidad;modelo*n;R2ajuste;R2error;R2errorA;R2errorB;pvalor;qnorm0.99;qnorm0.999;diapeak;deltapeak
MD;1;1;0;0;286000;89;25.3;0.000252;0.000252;0.000037;72;-inf;0.000000000;0.000000000;0.000000000;0.000000000;148;167;73;5209
MD;2;2;70;70;286000;89;25.3;0.000292;0.000040;0.000043;84;-1.201078228;1.000000000;-5.737025629;5.737025629;0.000000000;148;167;73;5209
MD;3;3;137;67;286000;89;25.3;0.000338;0.000046;0.000049;97;0.251916465;0.607609816;-1.285691068;2.398524708;0.430953261;148;167;73;5209
MD;4;4;159;22;286000;89;25.3;0.000390;0.000052;0.000056;112;0.400448929;0.022832228;2.179414474;0.319461383;0.848896631;148;167;73;5209
MD;5;5;169;10;286000;89;25.3;0.000450;0.000060;0.000064;129;0.462271064;0.039281532;3.470511224;-0.326086992;0.749311404;148;167;73;5209
MD;6;6;217;48;286000;89;25.3;0.000518;0.000068;0.000073;148;0.484561706;0.029017907;3.204231386;-0.211967061;0.746951901;148;167;73;5209
MD;7;7;296;79;286000;89;25.3;0.000595;0.000077;0.000083;170;0.431398441;0.001439301;2.739730307;-0.037779157;0.935640580;148;167;73;5209
MD;8;8;335;39;286000;89;25.3;0.000683;0.000088;0.000094;195;0.403341452;0.020829348;2.985495633;-0.119700932;0.733127181;148;167;73;5209
MD;9;9;393;58;286000;89;25.3;0.000783;0.000100;0.000106;224;0.381116186;0.029518354;2.985672795;-0.119754081;0.658489171;148;167;73;5209
MD;10;10;457;64;286000;89;25.3;0.000897;0.000113;0.000120;256;0.366933803;0.037689601;2.971523023;-0.115895052;0.590970115;148;167;73;5209
MD;11;11;475;18;286000;89;25.3;0.001025;0.000128;0.000136;293;0.380515866;0.099862264;3.195924557;-0.171995435;0.343787273;148;167;73;5209
MD;12;12;493;18;286000;89;25.3;0.001169;0.000145;0.000154;334;0.411737824;0.161188100;3.316299143;-0.199774186;0.195806193;148;167;73;5209
MD;13;13;526;33;286000;89;25.3;0.001332;0.000163;0.000173;381;0.454244395;0.199246710;3.324403557;-0.201510846;0.126267526;148;167;73;5209
MD;14;14;592;66;286000;89;25.3;0.001516;0.000184;0.000195;434;0.503366442;0.200580963;3.227041216;-0.182038378;0.108289598;148;167;73;5209
MD;15;15;638;46;286000;89;25.3;0.001723;0.000207;0.000219;493;0.556258142;0.223898994;3.195232164;-0.176074181;0.074837395;148;167;73;5209
MD;16;16;679;41;286000;89;25.3;0.001955;0.000232;0.000245;559;0.610505043;0.249305465;3.169479203;-0.171529541;0.048944058;148;167;73;5209
MD;17;17;749;70;286000;89;25.3;0.002215;0.000260;0.000275;633;0.664941194;0.253185206;3.094546447;-0.159040748;0.039501959;148;167;73;5209
MD;18;18;768;19;286000;89;25.3;0.002506;0.000291;0.000307;717;0.712948320;0.287737708;3.096288100;-0.159315746;0.021735957;148;167;73;5209
MD;19;19;780;12;286000;89;25.3;0.002830;0.000325;0.000343;810;0.748391465;0.319845500;3.090710980;-0.158479178;0.011614668;148;167;73;5209
MD;20;20;831;51;286000;89;25.3;0.003193;0.000363;0.000383;913;0.775438446;0.329817975;3.036205108;-0.150692625;0.008091530;148;167;73;5209
MD;21;21;924;93;286000;89;25.3;0.003597;0.000404;0.000426;1029;0.802033307;0.322233167;2.951236723;-0.139106027;0.007272040;148;167;73;5209
MD;22;22;997;73;286000;89;25.3;0.004046;0.000449;0.000473;1157;0.818279423;0.325500223;2.892268267;-0.131414489;0.005559705;148;167;73;5209
MD;23;23;1091;94;286000;89;25.3;0.004544;0.000499;0.000525;1300;0.827820816;0.323156265;2.826487473;-0.123191890;0.004651569;148;167;73;5209
MD;24;24;1281;190;286000;89;25.3;0.005097;0.000553;0.000581;1458;0.852598537;0.295012348;2.720424728;-0.110464360;0.006091719;148;167;73;5209
MD;25;25;1328;47;286000;89;25.3;0.005709;0.000612;0.000643;1633;0.850791383;0.309810153;2.696685358;-0.107725202;0.003855786;148;167;73;5209
MD;26;26;1351;23;286000;89;25.3;0.006385;0.000676;0.000710;1826;0.814531499;0.327563257;2.679960813;-0.105866919;0.002248720;148;167;73;5209
MD;27;27;1433;82;286000;89;25.3;0.007131;0.000746;0.000783;2039;0.760050600;0.332516877;2.639616841;-0.101544351;0.001641370;148;167;73;5209
MD;28;28;1617;184;286000;89;25.3;0.007953;0.000822;0.000862;2275;0.721465613;0.320024548;2.571755368;-0.094524199;0.001704436;148;167;73;5209
MD;29;29;1788;171;286000;89;25.3;0.008857;0.000904;0.000947;2533;0.688383364;0.313329080;2.516542883;-0.089002950;0.001591982;148;167;73;5209
MD;30;30;2002;214;286000;89;25.3;0.009850;0.000993;0.001040;2817;0.668864283;0.303153865;2.458324515;-0.083368915;0.001617426;148;167;73;5209
MD;31;31;2461;459;286000;89;25.3;0.010939;0.001089;0.001139;3128;0.713083084;0.263865483;2.359292196;-0.074084635;0.003119875;148;167;73;5209
MD;32;32;2636;175;286000;89;25.3;0.012131;0.001192;0.001246;3469;0.729472513;0.265984894;2.327890658;-0.071229949;0.002518034;148;167;73;5209
MD;33;33;2713;77;286000;89;25.3;0.013434;0.001303;0.001361;3842;0.707994109;0.277434147;2.314527694;-0.070050864;0.001637950;148;167;73;5209
MD;34;34;2958;245;286000;89;25.3;0.014856;0.001422;0.001484;4249;0.685376139;0.274449577;2.276629539;-0.066802451;0.001473445;148;167;73;5209
MD;35;35;3409;451;286000;89;25.3;0.016406;0.001550;0.001616;4692;0.691078441;0.256689042;2.217370828;-0.061864225;0.001898029;148;167;73;5209
MD;36;36;3860;451;286000;89;25.3;0.018092;0.001686;0.001757;5174;0.709452646;0.243467889;2.166977109;-0.057778248;0.002228487;148;167;73;5209
MD;37;37;4487;627;286000;89;25.3;0.019923;0.001832;0.001908;5698;0.746871119;0.222398071;2.106430666;-0.052998266;0.003214223;148;167;73;5209
MD;38;38;5305;818;286000;89;25.3;0.021910;0.001987;0.002067;6266;0.798096195;0.195465262;2.038484050;-0.047771603;0.005450151;148;167;73;5209
MD;39;39;5584;279;286000;89;25.3;0.024061;0.002151;0.002237;6882;0.821639435;0.200885610;2.025115689;-0.046768976;0.004216772;148;167;73;5209
MD;40;40;5764;180;286000;89;25.3;0.026387;0.002326;0.002417;7547;0.822450400;0.210539081;2.019813436;-0.046381006;0.002901654;148;167;73;5209
MD;41;41;6178;414;286000;89;25.3;0.028899;0.002511;0.002607;8265;0.817117359;0.211092626;1.998495018;-0.044858262;0.002512176;148;167;73;5209
