region;num_dia;dia;valor;valordelta;n;mu;sigma;modelo;modelodelta;densidad;modelo*n;R2ajuste;R2error;R2errorA;R2errorB;pvalor;qnorm0.99;qnorm0.999;diapeak;deltapeak
MD;41;41;6178;414;333000;92;26.1;0.025349;0.002182;0.002265;8441;0.775520034;0.200055191;1.842420364;-0.040053392;0.003368132;153;173;66;4518
MD;42;42;7274;1096;333000;92;26.1;0.027701;0.002352;0.002440;9224;0.796256149;0.174290316;1.785809460;-0.036103794;0.005945133;153;173;66;4518
MD;43;43;8309;1035;333000;92;26.1;0.030232;0.002531;0.002624;10067;0.824270824;0.156989213;1.741563288;-0.033087010;0.008532521;153;173;66;4518
MD;44;44;9487;1178;333000;92;26.1;0.032952;0.002720;0.002817;10973;0.854896971;0.139473883;1.697475976;-0.030147856;0.012523819;153;173;66;4518
MD;45;45;11105;1618;333000;92;26.1;0.035870;0.002918;0.003021;11945;0.887902711;0.114211916;1.641134773;-0.026473430;0.023176005;153;173;66;4518
MD;46;46;11625;520;333000;92;26.1;0.038996;0.003127;0.003234;12986;0.906532087;0.119723383;1.638548691;-0.026308360;0.018500509;153;173;66;4518
MD;47;47;11978;353;333000;92;26.1;0.042341;0.003345;0.003458;14100;0.913930001;0.128811525;1.642610883;-0.026562247;0.013233735;153;173;66;4518
MD;48;48;12663;685;333000;92;26.1;0.045915;0.003573;0.003691;15290;0.916343678;0.131712148;1.634706575;-0.026078310;0.011238092;153;173;66;4518
MD;49;49;14765;2102;333000;92;26.1;0.049727;0.003812;0.003934;16559;0.927630322;0.108383972;1.583785996;-0.023023075;0.020897473;153;173;66;4518
MD;50;50;16741;1976;333000;92;26.1;0.053787;0.004060;0.004188;17911;0.940440341;0.092835459;1.544410213;-0.020706853;0.031442390;153;173;66;4518
MD;51;51;18935;2194;333000;92;26.1;0.058105;0.004318;0.004451;19349;0.952498105;0.077977922;1.505507912;-0.018462489;0.047206588;153;173;66;4518
MD;52;52;21938;3003;333000;92;26.1;0.062691;0.004586;0.004723;20876;0.962201342;0.057300024;1.453053398;-0.015493366;0.087425497;153;173;66;4518
MD;53;53;22739;801;333000;92;26.1;0.067555;0.004863;0.005005;22496;0.969274793;0.062784323;1.458763876;-0.015810615;0.070349410;153;173;66;4518
MD;54;54;23243;504;333000;92;26.1;0.072705;0.005150;0.005296;24211;0.973772144;0.071146981;1.470586874;-0.016455506;0.051211232;153;173;66;4518
MD;55;55;24391;1148;333000;92;26.1;0.078150;0.005445;0.005596;26024;0.976618105;0.074042318;1.468749719;-0.016357087;0.044457953;153;173;66;4518
MD;56;56;27684;3293;333000;92;26.1;0.083900;0.005749;0.005904;27939;0.980436350;0.058789296;1.428671516;-0.014247707;0.071783233;153;173;66;4518
MD;57;57;30795;3111;333000;92;26.1;0.089961;0.006061;0.006220;29957;0.983588010;0.048582303;1.397602466;-0.012640688;0.099444383;153;173;66;4518
MD;58;58;33755;2960;333000;92;26.1;0.096342;0.006381;0.006543;32082;0.985766469;0.041716872;1.373668062;-0.011423684;0.124072956;153;173;66;4518
MD;59;59;38049;4294;333000;92;26.1;0.103049;0.006707;0.006873;34315;0.985768642;0.029517308;1.333784785;-0.009429520;0.193213823;153;173;66;4518
MD;60;60;39189;1140;333000;92;26.1;0.110089;0.007040;0.007209;36660;0.987029781;0.034072849;1.343555010;-0.009910023;0.157978545;153;173;66;4518
MD;61;61;39899;710;333000;92;26.1;0.117468;0.007379;0.007550;39117;0.988740493;0.040786068;1.358526613;-0.010634455;0.118565515;153;173;66;4518
MD;62;62;41250;1351;333000;92;26.1;0.125190;0.007722;0.007895;41688;0.990146988;0.044925544;1.364505508;-0.010919165;0.098161657;153;173;66;4518
MD;63;63;45194;3944;333000;92;26.1;0.133260;0.008070;0.008245;44376;0.991396671;0.037755751;1.340381587;-0.009788356;0.127015862;153;173;66;4518
MD;64;64;48575;3381;333000;92;26.1;0.141681;0.008421;0.008597;47180;0.992380308;0.034306780;1.325785994;-0.009114713;0.142846008;153;173;66;4518
MD;65;65;51949;3374;333000;92;26.1;0.150455;0.008774;0.008951;50102;0.993135513;0.031672454;1.313521942;-0.008557256;0.156094213;153;173;66;4518
MD;66;66;56467;4518;333000;92;26.1;0.159584;0.009129;0.009306;53142;0.993349496;0.026031651;1.292033236;-0.007595075;0.195591915;153;173;66;4518
MD;67;67;57540;1073;333000;92;26.1;0.169068;0.009484;0.009661;56300;0.994074216;0.031356708;1.305455572;-0.008187237;0.151707243;153;173;66;4518
MD;68;68;58448;908;333000;92;26.1;0.178907;0.009838;0.010015;59576;0.994660209;0.037450317;1.319469239;-0.008796527;0.113828804;153;173;66;4518
MD;69;69;59891;1443;333000;92;26.1;0.189098;0.010191;0.010367;62970;0.994767552;0.042174866;1.328005617;-0.009162372;0.090489334;153;173;66;4518
MD;70;70;64039;4148;333000;92;26.1;0.199639;0.010541;0.010715;66480;0.995071574;0.038669297;1.314408442;-0.008587843;0.102763545;153;173;66;4518
MD;71;71;;;333000;92;26.1;0.210526;0.010887;0.011058;70105;;;;;;153;173;66;4518
MD;72;72;;;333000;92;26.1;0.221754;0.011228;0.011396;73844;;;;;;153;173;66;4518
MD;73;73;;;333000;92;26.1;0.233316;0.011562;0.011727;77694;;;;;;153;173;66;4518
MD;74;74;;;333000;92;26.1;0.245206;0.011889;0.012050;81653;;;;;;153;173;66;4518
MD;75;75;;;333000;92;26.1;0.257413;0.012208;0.012364;85719;;;;;;153;173;66;4518
MD;76;76;;;333000;92;26.1;0.269929;0.012516;0.012667;89886;;;;;;153;173;66;4518
MD;77;77;;;333000;92;26.1;0.282743;0.012814;0.012958;94153;;;;;;153;173;66;4518
MD;78;78;;;333000;92;26.1;0.295842;0.013099;0.013237;98515;;;;;;153;173;66;4518
MD;79;79;;;333000;92;26.1;0.309212;0.013371;0.013502;102968;;;;;;153;173;66;4518
MD;80;80;;;333000;92;26.1;0.322841;0.013628;0.013752;107506;;;;;;153;173;66;4518
MD;81;81;;;333000;92;26.1;0.336711;0.013870;0.013986;112125;;;;;;153;173;66;4518
MD;82;82;;;333000;92;26.1;0.350807;0.014096;0.014203;116819;;;;;;153;173;66;4518
MD;83;83;;;333000;92;26.1;0.365112;0.014305;0.014403;121582;;;;;;153;173;66;4518
MD;84;84;;;333000;92;26.1;0.379607;0.014495;0.014584;126409;;;;;;153;173;66;4518
MD;85;85;;;333000;92;26.1;0.394273;0.014666;0.014745;131293;;;;;;153;173;66;4518
MD;86;86;;;333000;92;26.1;0.409091;0.014818;0.014887;136227;;;;;;153;173;66;4518
MD;87;87;;;333000;92;26.1;0.424039;0.014949;0.015007;141205;;;;;;153;173;66;4518
MD;88;88;;;333000;92;26.1;0.439098;0.015059;0.015107;146220;;;;;;153;173;66;4518
MD;89;89;;;333000;92;26.1;0.454245;0.015147;0.015185;151264;;;;;;153;173;66;4518
MD;90;90;;;333000;92;26.1;0.469460;0.015214;0.015240;156330;;;;;;153;173;66;4518
MD;91;91;;;333000;92;26.1;0.484719;0.015259;0.015274;161411;;;;;;153;173;66;4518
