region;num_dia;dia;valor;valordelta;n;mu;sigma;modelo;modelodelta;densidad;modelo*n;R2ajuste;R2error;R2errorA;R2errorB;pvalor;qnorm0.99;qnorm0.999;diapeak;deltapeak
MD;1;1;0;0;258000;86;24.5;0.000261;0.000261;0.000040;67;-inf;0.000000000;0.000000000;0.000000000;0.000000000;143;162;87;7715
MD;2;2;70;70;258000;86;24.5;0.000303;0.000043;0.000046;78;-0.876203776;1.000000000;-5.947333984;5.947333984;0.000000000;143;162;87;7715
MD;3;3;137;67;258000;86;24.5;0.000352;0.000049;0.000052;91;0.283862451;0.604355416;-1.319681703;2.476594773;0.433073253;143;162;87;7715
MD;4;4;159;22;258000;86;24.5;0.000409;0.000056;0.000060;105;0.379464610;0.022138997;2.264885759;0.325854296;0.851208211;143;162;87;7715
MD;5;5;169;10;258000;86;24.5;0.000473;0.000064;0.000069;122;0.417729298;0.039905196;3.597533163;-0.340469406;0.747355935;143;162;87;7715
MD;6;6;217;48;258000;86;24.5;0.000547;0.000074;0.000079;141;0.421148063;0.030524136;3.328674025;-0.225244061;0.740599090;143;162;87;7715
MD;7;7;296;79;258000;86;24.5;0.000631;0.000084;0.000090;163;0.361634657;0.002189940;2.856605207;-0.048218254;0.920642263;143;162;87;7715
MD;8;8;335;39;258000;86;24.5;0.000727;0.000096;0.000103;188;0.331719146;0.023364293;3.105684729;-0.131244762;0.717831931;143;162;87;7715
MD;9;9;393;58;258000;86;24.5;0.000837;0.000109;0.000117;216;0.311421141;0.032955520;3.105060514;-0.131057497;0.640183173;143;162;87;7715
MD;10;10;457;64;258000;86;24.5;0.000961;0.000124;0.000132;248;0.301237975;0.042026835;3.089519767;-0.126819112;0.569929042;143;162;87;7715
MD;11;11;475;18;258000;86;24.5;0.001102;0.000141;0.000150;284;0.317048006;0.105099434;3.313190800;-0.182736870;0.330741189;143;162;87;7715
MD;12;12;493;18;258000;86;24.5;0.001262;0.000160;0.000170;326;0.350525583;0.166294230;3.431561732;-0.210053239;0.188212003;143;162;87;7715
MD;13;13;526;33;258000;86;24.5;0.001443;0.000181;0.000192;372;0.396279189;0.204267076;3.437043673;-0.211227940;0.121022937;143;162;87;7715
MD;14;14;592;66;258000;86;24.5;0.001648;0.000204;0.000217;425;0.450340445;0.206389541;3.337151032;-0.191249412;0.102701232;143;162;87;7715
